start,type,end
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Brezilya
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Arjantin
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Şili
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Rio de Janeiro
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Iguazu
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Buenos Aires
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Cape Horn
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Magdalena Adası
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Santiago
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_SEASON,Kış
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_DATE_START,2025-01-04
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_DATE_END,2025-01-22
Rio de Janeiro,HAS_RESTAURANT,Satyricon Restaurant
Rio de Janeiro,HAS_RESTAURANT,La Cabrera Restaurant
Rio de Janeiro,HAS_RESTAURANT,Fervor Restaurant
Iguazu,HAS_RESTAURANT,Satyricon Restaurant
Iguazu,HAS_RESTAURANT,La Cabrera Restaurant
Iguazu,HAS_RESTAURANT,Fervor Restaurant
İZLANDA TURU 18 – 24 MAYIS,HAS_COUNTRY,İzlanda
İZLANDA TURU 18 – 24 MAYIS,HAS_CITY,İzlanda
İZLANDA TURU 18 – 24 MAYIS,HAS_SEASON,İlkbahar
İZLANDA TURU 18 – 24 MAYIS,HAS_DATE_START,2025-05-18
İZLANDA TURU 18 – 24 MAYIS,HAS_DATE_END,2025-05-24
İzlanda,HAS_HOTEL,Hali Country Hotel
İzlanda,HAS_HOTEL,Fosshotel Glacier Lagoon
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_COUNTRY,Güney Afrika
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Cape Town
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Stellenbosch
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Franschhoek
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Kimberley
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_SEASON,Kış
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_DATE_START,2025-12-07
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_DATE_END,2025-12-16
Cape Town,HAS_HOTEL,Babel Hotel
Stellenbosch,HAS_HOTEL,Babel Hotel
VENEDİK & MİLANO TURU 08 – 12,HAS_COUNTRY,İtalya
VENEDİK & MİLANO TURU 08 – 12,HAS_CITY,Venedik
VENEDİK & MİLANO TURU 08 – 12,HAS_CITY,Milano
Venedik,HAS_HOTEL,Hotel Ai Cavalieri
Milano,HAS_HOTEL,Hotel Ai Cavalieri
Venedik,HAS_RESTAURANT,Ristorante Da Ivo
Venedik,HAS_RESTAURANT,Ristorante Acqua Pazza
Venedik,HAS_RESTAURANT,Osteria Enoteca San Marco
Venedik,HAS_RESTAURANT,Restaurant Terrazza Danieli
Venedik,HAS_RESTAURANT,Da Giacomo
Venedik,HAS_RESTAURANT,Il Salumaio di Montenapoleone
Venedik,HAS_RESTAURANT,Solferino Restaurant
Milano,HAS_RESTAURANT,Ristorante Da Ivo
Milano,HAS_RESTAURANT,Ristorante Acqua Pazza
Milano,HAS_RESTAURANT,Osteria Enoteca San Marco
Milano,HAS_RESTAURANT,Restaurant Terrazza Danieli
Milano,HAS_RESTAURANT,Da Giacomo
Milano,HAS_RESTAURANT,Il Salumaio di Montenapoleone
Milano,HAS_RESTAURANT,Solferino Restaurant
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_COUNTRY,Maldivler
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_CITY,Maldivler
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_SEASON,Kış
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_DATE_START,2024-01-08
MALDİVLER TURU 08 – 15 OCAK 2024,HAS_DATE_END,2024-01-15
Maldivler,HAS_HOTEL,Beach Villa with Pool
Maldivler,HAS_HOTEL,Water Villa with Pool
Maldivler,HAS_HOTEL,Water Villa One Bedroom
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_COUNTRY,Tanzanya
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_CITY,Arusha
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_CITY,Serengeti
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_CITY,Zanzibar
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_SEASON,Kış
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_DATE_START,2024-01-08
TANZANYA & ZANZIBAR TURU 08 – 17 OCAK 2024,HAS_DATE_END,2024-01-17
Arusha,HAS_HOTEL,Singita Lodge
Arusha,HAS_HOTEL,Singita Sasakawa Lodge
Serengeti,HAS_HOTEL,Singita Lodge
Serengeti,HAS_HOTEL,Singita Sasakawa Lodge
BARCELONA TURU 09 – 11 KASIM,HAS_COUNTRY,İspanya
BARCELONA TURU 09 – 11 KASIM,HAS_CITY,Barcelona
BARCELONA TURU 09 – 11 KASIM,HAS_SEASON,Sonbahar
BARCELONA TURU 09 – 11 KASIM,HAS_DATE_START,2025-11-09
BARCELONA TURU 09 – 11 KASIM,HAS_DATE_END,2025-11-11
Barcelona,HAS_RESTAURANT,La Pepita Tapas Bar
Barcelona,HAS_RESTAURANT,Gala Restoran
Barcelona,HAS_RESTAURANT,Barceloneta Restoran
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_COUNTRY,İspanya
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_COUNTRY,Fransa
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,Bilbao
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,San Sebastian
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,Biarritz
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_CITY,Saint Jean De Luz
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_SEASON,Sonbahar
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_DATE_START,2025-09-12
BILBAO & SAN SEBASTIAN TURU 12 – 15 EYLÜL,HAS_DATE_END,2025-09-15
Bilbao,HAS_HOTEL,Hotel Maria Cristina
San Sebastian,HAS_HOTEL,Hotel Maria Cristina
Bilbao,HAS_RESTAURANT,Restaurante Ilura
Bilbao,HAS_RESTAURANT,Elkano Restaurant
Bilbao,HAS_RESTAURANT,Cafe Iruña
San Sebastian,HAS_RESTAURANT,Restaurante Ilura
San Sebastian,HAS_RESTAURANT,Elkano Restaurant
San Sebastian,HAS_RESTAURANT,Cafe Iruña
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Avustralya
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Yeni Zelanda
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_COUNTRY,Singapur
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Singapore
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Auckland
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Rotorua
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Wellington
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Tekapo
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Queenstown
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Gold Coast
AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,HAS_CITY,Sydney
Singapore,HAS_HOTEL,JW Marriott Hotel Singapore South Beach
Singapore,HAS_HOTEL,Pullman Rotorua
Singapore,HAS_HOTEL,Intercontinental Hotel Wellington
Singapore,HAS_HOTEL,Peppers Blue Water Resort Lake Tekapo
Singapore,HAS_HOTEL,The Rees Hotel & Luxury Apartments
Singapore,HAS_HOTEL,JW Marriott Gold Coast Resort & Spa
Singapore,HAS_HOTEL,Sydney Harbour Marriott Hotel at Circular Quay
Auckland,HAS_HOTEL,JW Marriott Hotel Singapore South Beach
Auckland,HAS_HOTEL,Pullman Rotorua
Auckland,HAS_HOTEL,Intercontinental Hotel Wellington
Auckland,HAS_HOTEL,Peppers Blue Water Resort Lake Tekapo
Auckland,HAS_HOTEL,The Rees Hotel & Luxury Apartments
Auckland,HAS_HOTEL,JW Marriott Gold Coast Resort & Spa
Auckland,HAS_HOTEL,Sydney Harbour Marriott Hotel at Circular Quay
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_COUNTRY,Endonezya
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_COUNTRY,Tayland
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_CITY,Bali
BALI & BANGKOK TURU 18 TEMMUZ – 06 AĞUSTOS,HAS_CITY,Bangkok
Bali,HAS_HOTEL,Capella Bangkok Hotel
Bali,HAS_HOTEL,Riverside Pool Villa
Bangkok,HAS_HOTEL,Capella Bangkok Hotel
Bangkok,HAS_HOTEL,Riverside Pool Villa
Bali,HAS_RESTAURANT,Koral Restaurant
Bali,HAS_RESTAURANT,Restaurant POTONG
Bangkok,HAS_RESTAURANT,Koral Restaurant
Bangkok,HAS_RESTAURANT,Restaurant POTONG
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_COUNTRY,Danimarka
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_COUNTRY,Norveç
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Kopenhag
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Bergen
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Flåm
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_CITY,Oslo
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_SEASON,Yaz
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_DATE_START,2025-08-18
DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,HAS_DATE_END,2025-08-25
Kopenhag,HAS_HOTEL,Nimb Hotel
Kopenhag,HAS_HOTEL,Bergen Børs Hotel
Kopenhag,HAS_HOTEL,Fretheim Hotel
Bergen,HAS_HOTEL,Nimb Hotel
Bergen,HAS_HOTEL,Bergen Børs Hotel
Bergen,HAS_HOTEL,Fretheim Hotel
Kopenhag,HAS_RESTAURANT,Fjellskål Seafood Restaurant
Kopenhag,HAS_RESTAURANT,Restaurant Arven
Kopenhag,HAS_RESTAURANT,Lofoten Fiskerestaurant
Kopenhag,HAS_RESTAURANT,Bryggen Tracteursted
Kopenhag,HAS_RESTAURANT,Izakaya Bar & Terrace
Bergen,HAS_RESTAURANT,Fjellskål Seafood Restaurant
Bergen,HAS_RESTAURANT,Restaurant Arven
Bergen,HAS_RESTAURANT,Lofoten Fiskerestaurant
Bergen,HAS_RESTAURANT,Bryggen Tracteursted
Bergen,HAS_RESTAURANT,Izakaya Bar & Terrace
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_COUNTRY,Güney Afrika
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_COUNTRY,Zambiya
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Cape Town
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Franschhoek
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Livingstone
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_CITY,Serengeti
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_SEASON,Kış
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_DATE_START,2026-01-25
GÜNEY AFRİKA TURU 19 ARALIK 2025 – 3 OCAK 2026,HAS_DATE_END,2026-01-03
Cape Town,HAS_HOTEL,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
Cape Town,HAS_HOTEL,Babylonstoren Hotel
Cape Town,HAS_HOTEL,Marataba Safari Lodge
Franschhoek,HAS_HOTEL,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
Franschhoek,HAS_HOTEL,Babylonstoren Hotel
Franschhoek,HAS_HOTEL,Marataba Safari Lodge
Cape Town,HAS_RESTAURANT,The Lookout Cafe
Franschhoek,HAS_RESTAURANT,The Lookout Cafe
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_COUNTRY,Japonya
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Tokyo
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Okayama
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Kyoto
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Naoshima
JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,HAS_CITY,Teshima
Tokyo,HAS_HOTEL,Mitsui Garden Hotel Premier Jingu-Gaien
Tokyo,HAS_HOTEL,Uno Hotel
Tokyo,HAS_HOTEL,ACE Hotel Kyoto
Okayama,HAS_HOTEL,Mitsui Garden Hotel Premier Jingu-Gaien
Okayama,HAS_HOTEL,Uno Hotel
Okayama,HAS_HOTEL,ACE Hotel Kyoto
LAPLAND TURU 19 – 24 OCAK,HAS_COUNTRY,İsveç
LAPLAND TURU 19 – 24 OCAK,HAS_CITY,Jukkasjärvi
LAPLAND TURU 19 – 24 OCAK,HAS_CITY,Harads
LAPLAND TURU 19 – 24 OCAK,HAS_SEASON,Kış
LAPLAND TURU 19 – 24 OCAK,HAS_DATE_START,2025-01-19
LAPLAND TURU 19 – 24 OCAK,HAS_DATE_END,2025-01-24
Jukkasjärvi,HAS_HOTEL,ICEHOTEL
Jukkasjärvi,HAS_HOTEL,Kaamos Hotel
Jukkasjärvi,HAS_HOTEL,Treehotel
Harads,HAS_HOTEL,ICEHOTEL
Harads,HAS_HOTEL,Kaamos Hotel
Harads,HAS_HOTEL,Treehotel
MISIR TURU 20 – 25 NİSAN 2024,HAS_COUNTRY,Mısır
MISIR TURU 20 – 25 NİSAN 2024,HAS_CITY,Kahire
MISIR TURU 20 – 25 NİSAN 2024,HAS_CITY,Aswan
MISIR TURU 20 – 25 NİSAN 2024,HAS_CITY,Luxor
MISIR TURU 20 – 25 NİSAN 2024,HAS_SEASON,İlkbahar
MISIR TURU 20 – 25 NİSAN 2024,HAS_DATE_START,2024-04-20
MISIR TURU 20 – 25 NİSAN 2024,HAS_DATE_END,2024-04-25
Kahire,HAS_HOTEL,Marriott Mena House Hotel
Kahire,HAS_HOTEL,Movenpick Sunray Nile Cruise
Aswan,HAS_HOTEL,Marriott Mena House Hotel
Aswan,HAS_HOTEL,Movenpick Sunray Nile Cruise
AMALFI TURU 20 – 23 HAZİRAN,HAS_COUNTRY,İtalya
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Amalfi
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Ravello
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Pompei
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Napoli
AMALFI TURU 20 – 23 HAZİRAN,HAS_CITY,Sorrento
AMALFI TURU 20 – 23 HAZİRAN,HAS_SEASON,Yaz
AMALFI TURU 20 – 23 HAZİRAN,HAS_DATE_START,2025-06-20
AMALFI TURU 20 – 23 HAZİRAN,HAS_DATE_END,2025-06-23
Amalfi,HAS_HOTEL,Villa Piedimonte
Amalfi,HAS_HOTEL,Hotel Rufolo
Ravello,HAS_HOTEL,Villa Piedimonte
Ravello,HAS_HOTEL,Hotel Rufolo
LOIRE TURU 20 – 23 NİSAN,HAS_COUNTRY,Fransa
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Loire
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Tours
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Amboise
LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Blois
LOIRE TURU 20 – 23 NİSAN,HAS_SEASON,İlkbahar
LOIRE TURU 20 – 23 NİSAN,HAS_DATE_START,2025-04-20
LOIRE TURU 20 – 23 NİSAN,HAS_DATE_END,2025-04-23
Loire,HAS_RESTAURANT,Avarum Restaurant
Loire,HAS_RESTAURANT,Restaurante Amour Blanc
Tours,HAS_RESTAURANT,Avarum Restaurant
Tours,HAS_RESTAURANT,Restaurante Amour Blanc
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_COUNTRY,Belçika
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_COUNTRY,Fransa
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Brugge
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Gent
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Loire
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Amboise
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_CITY,Blois
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_SEASON,İlkbahar
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_DATE_START,2025-04-20
BRUGGE & LOIRE TURU 20 – 23 NİSAN,HAS_DATE_END,2025-04-23
Brugge,HAS_HOTEL,Hotel De Orangerie
Brugge,HAS_HOTEL,Hotel Van Cleef
Brugge,HAS_HOTEL,Hotel Heritage Relais Chateau
Brugge,HAS_HOTEL,Hotel Dukes' Palace
Gent,HAS_HOTEL,Hotel De Orangerie
Gent,HAS_HOTEL,Hotel Van Cleef
Gent,HAS_HOTEL,Hotel Heritage Relais Chateau
Gent,HAS_HOTEL,Hotel Dukes' Palace
AMALFI TURU 20 – 24 HAZİRAN,HAS_COUNTRY,İtalya
AMALFI TURU 20 – 24 HAZİRAN,HAS_CITY,Amalfi
AMALFI TURU 20 – 24 HAZİRAN,HAS_SEASON,Yaz
AMALFI TURU 20 – 24 HAZİRAN,HAS_DATE_START,2025-06-20
AMALFI TURU 20 – 24 HAZİRAN,HAS_DATE_END,2025-06-24
SALZBURG TURU 20 – 25 ARALIK,HAS_COUNTRY,Avusturya
SALZBURG TURU 20 – 25 ARALIK,HAS_COUNTRY,Almanya
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,Salzburg
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,Hallstatt
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,St Wolfgang
SALZBURG TURU 20 – 25 ARALIK,HAS_CITY,Berchtesgaden
SALZBURG TURU 20 – 25 ARALIK,HAS_SEASON,Kış
SALZBURG TURU 20 – 25 ARALIK,HAS_DATE_START,2025-12-20
SALZBURG TURU 20 – 25 ARALIK,HAS_DATE_END,2025-12-25
Salzburg,HAS_HOTEL,Radisson Blu Hotel Altstadt
Salzburg,HAS_HOTEL,Hotel Goldener Hirsch
Salzburg,HAS_HOTEL,Hotel Bristol
Hallstatt,HAS_HOTEL,Radisson Blu Hotel Altstadt
Hallstatt,HAS_HOTEL,Hotel Goldener Hirsch
Hallstatt,HAS_HOTEL,Hotel Bristol
Salzburg,HAS_RESTAURANT,Cafe Sacher Salzburg
Salzburg,HAS_RESTAURANT,Restaurant Blaue Gans Salzburg Gasthaus
Hallstatt,HAS_RESTAURANT,Cafe Sacher Salzburg
Hallstatt,HAS_RESTAURANT,Restaurant Blaue Gans Salzburg Gasthaus
BELGRAD TURU 21 – 23 EYLÜL,HAS_COUNTRY,Sırbistan
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Belgrad
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Karlofca
BELGRAD TURU 21 – 23 EYLÜL,HAS_CITY,Novi Sad
BELGRAD TURU 21 – 23 EYLÜL,HAS_SEASON,Sonbahar
BELGRAD TURU 21 – 23 EYLÜL,HAS_DATE_START,2025-09-21
BELGRAD TURU 21 – 23 EYLÜL,HAS_DATE_END,2025-09-23
Belgrad,HAS_HOTEL,Metropol Palace Hotel
Belgrad,HAS_HOTEL,Square Nine Hotel
Karlofca,HAS_HOTEL,Metropol Palace Hotel
Karlofca,HAS_HOTEL,Square Nine Hotel
Belgrad,HAS_RESTAURANT,Kalemegdan Restaurant
Karlofca,HAS_RESTAURANT,Kalemegdan Restaurant
İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,HAS_COUNTRY,Türkiye
İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,HAS_CITY,İstanbul
İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,HAS_CITY,Kapadokya
İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,HAS_CITY,Kuşadası
İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,HAS_CITY,İzmir
İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,HAS_CITY,Şirince
İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,HAS_CITY,Efes
İstanbul,HAS_RESTAURANT,Il Cortile Ristorante Pizzeria
İstanbul,HAS_RESTAURANT,Pandeli Restaurant
İstanbul,HAS_RESTAURANT,Belisirma Nehir Kenarı Restoran
İstanbul,HAS_RESTAURANT,Geleneksel Türk Restoranı (Efes)
Kapadokya,HAS_RESTAURANT,Il Cortile Ristorante Pizzeria
Kapadokya,HAS_RESTAURANT,Pandeli Restaurant
Kapadokya,HAS_RESTAURANT,Belisirma Nehir Kenarı Restoran
Kapadokya,HAS_RESTAURANT,Geleneksel Türk Restoranı (Efes)
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_COUNTRY,İskoçya
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_CITY,Edinburgh
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_CITY,Pitlochry
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_CITY,Fort William
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_CITY,Inverness
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_SEASON,Yaz
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_DATE_START,2025-08-04
EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,HAS_DATE_END,2025-08-08
Edinburgh,HAS_HOTEL,Fonab Castle Hotel
Edinburgh,HAS_HOTEL,The Craigellachie Hotel
